CustomerID,Age,Gender,Marital_Status,Education,Employment_Type,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Income_Loan_Ratio,Loan_Status
1000,59,Male,Single,Not Graduate,Salaried,11082,3363,284,120,1,Semiurban,0.5086267605633803,
1001,49,Male,Married,Graduate,Salaried,10822,3524,164,360,0,Semiurban,0.8747560975609756,
1002,35,Male,Married,Graduate,Salaried,3986,3786,414,240,1,Semiurban,0.1877294685990338,
1003,63,Male,Single,Not Graduate,Salaried,10526,23,139,300,1,Rural,0.7589208633093525,
1004,28,Female,Married,Graduate,Salaried,9918,3003,257,240,0,Urban,0.5027626459143969,
1005,41,Female,Married,Graduate,Salaried,13207,5982,213,180,0,Rural,0.9008920187793428,
1006,59,Female,Married,Not Graduate,Salaried,14229,310,133,360,1,Rural,1.093157894736842,
1007,39,Male,Married,Not Graduate,Salaried,3943,5580,126,360,1,Urban,0.7557936507936508,
1008,43,Male,Single,Not Graduate,Salaried,10419,1231,210,360,1,Rural,0.5547619047619048,
1009,31,Male,Single,Not Graduate,Self-Employed,13378,7959,54,360,0,Rural,3.951296296296296,
1010,31,Male,Single,Not Graduate,Self-Employed,13314,3788,127,120,0,Semiurban,1.3466141732283463,
1011,44,Male,Married,Graduate,Self-Employed,2536,2711,140,120,0,Rural,0.3747857142857143,
1012,56,Female,Married,Not Graduate,Salaried,11524,6581,136,300,1,Semiurban,1.33125,
1013,60,Female,Married,Not Graduate,Salaried,12432,7705,319,360,1,Rural,0.6312539184952978,
1014,44,Male,Married,Not Graduate,Self-Employed,10184,4801,153,180,1,Semiurban,0.9794117647058824,
1015,23,Male,Married,Graduate,Salaried,8935,5455,388,300,1,Semiurban,0.3708762886597938,
1016,42,Male,Married,Not Graduate,Self-Employed,3048,421,224,360,1,Semiurban,0.1548660714285714,
1017,22,Male,Married,Not Graduate,Salaried,10835,1773,103,120,1,Urban,1.2240776699029126,
1018,44,Female,Single,Not Graduate,Self-Employed,6565,6464,437,180,1,Rural,0.2981464530892448,
1019,64,Male,Single,Graduate,Self-Employed,7996,3568,260,300,1,Rural,0.4447692307692307,
1020,50,Male,Married,Not Graduate,Self-Employed,7683,6730,144,180,1,Rural,1.0009027777777777,
1021,58,Male,Married,Not Graduate,Salaried,5457,946,272,360,1,Urban,0.2354044117647059,
1022,22,Male,Married,Not Graduate,Self-Employed,4907,1186,58,240,1,Semiurban,1.0505172413793102,
1023,41,Female,Single,Graduate,Salaried,2139,1834,102,180,1,Rural,0.3895098039215686,
1024,53,Male,Single,Not Graduate,Salaried,1672,1564,126,180,1,Urban,0.2568253968253968,
1025,32,Male,Married,Not Graduate,Salaried,7166,7332,255,120,1,Urban,0.5685490196078431,
1026,42,Female,Married,Not Graduate,Salaried,5854,4944,365,360,0,Rural,0.2958356164383561,
1027,64,Female,Single,Graduate,Salaried,5459,7865,351,180,1,Semiurban,0.3796011396011396,
1028,45,Female,Single,Not Graduate,Salaried,10208,5685,359,360,0,Urban,0.4427019498607242,
1029,47,Male,Single,Not Graduate,Salaried,10214,5414,379,120,1,Rural,0.4123482849604221,
1030,62,Male,Single,Not Graduate,Self-Employed,11609,6185,161,360,1,Semiurban,1.105217391304348,
1031,48,Female,Married,Graduate,Self-Employed,4386,1947,400,120,1,Urban,0.158325,
1032,36,Female,Single,Graduate,Self-Employed,3664,1308,214,120,0,Urban,0.2323364485981308,
1033,35,Female,Single,Not Graduate,Salaried,11621,2986,328,300,0,Rural,0.4453353658536585,
1034,64,Female,Married,Graduate,Salaried,5445,386,76,360,1,Rural,0.7672368421052631,
1035,23,Female,Single,Graduate,Salaried,6735,6131,119,240,1,Semiurban,1.0811764705882352,
1036,57,Female,Single,Graduate,Salaried,11901,1161,267,300,1,Rural,0.4892134831460674,
1037,27,Male,Single,Not Graduate,Self-Employed,9246,3258,499,120,1,Rural,0.2505811623246493,
1038,41,Male,Married,Not Graduate,Salaried,13475,6121,414,240,1,Semiurban,0.4733333333333333,
1039,29,Male,Single,Graduate,Self-Employed,4090,7053,238,180,1,Rural,0.4681932773109243,
1040,59,Female,Married,Graduate,Salaried,9254,4811,382,180,1,Semiurban,0.3681937172774869,
1041,38,Female,Married,Graduate,Self-Employed,6434,6574,484,300,1,Semiurban,0.2687603305785124,
1042,24,Female,Single,Not Graduate,Salaried,5576,6697,355,240,1,Semiurban,0.3457183098591549,
1043,45,Female,Single,Not Graduate,Self-Employed,6685,3933,173,360,1,Rural,0.6137572254335261,
1044,34,Female,Single,Graduate,Salaried,2593,7583,68,240,0,Semiurban,1.4964705882352942,
1045,29,Female,Single,Graduate,Self-Employed,5380,2847,306,300,1,Rural,0.2688562091503268,
1046,46,Male,Married,Graduate,Salaried,12186,4521,345,360,0,Semiurban,0.4842608695652174,
1047,22,Male,Single,Graduate,Self-Employed,8059,1439,465,360,1,Rural,0.204258064516129,
1048,40,Female,Single,Not Graduate,Self-Employed,12271,6169,71,180,1,Semiurban,2.5971830985915494,
1049,48,Male,Single,Graduate,Salaried,12180,3442,417,240,1,Urban,0.3746282973621103,
1050,27,Female,Married,Not Graduate,Self-Employed,4285,4480,499,360,1,Urban,0.1756513026052104,
1051,64,Male,Single,Graduate,Salaried,7565,55,89,300,0,Urban,0.8561797752808988,
1052,28,Female,Single,Graduate,Salaried,8039,3324,87,180,1,Semiurban,1.3060919540229885,
1053,55,Female,Married,Graduate,Salaried,12450,6777,97,360,1,Rural,1.9821649484536084,
1054,34,Male,Married,Graduate,Self-Employed,3074,105,232,240,0,Semiurban,0.1370258620689655,
1055,37,Male,Single,Graduate,Self-Employed,7176,3201,124,180,1,Semiurban,0.8368548387096775,
1056,56,Female,Single,Not Graduate,Salaried,12065,6992,258,240,1,Semiurban,0.7386434108527132,
1057,60,Female,Single,Graduate,Salaried,9560,669,232,240,1,Semiurban,0.4409051724137931,
1058,24,Male,Single,Graduate,Self-Employed,5490,4471,484,240,1,Rural,0.2058057851239669,
1059,22,Male,Single,Graduate,Self-Employed,6710,742,156,180,1,Semiurban,0.4776923076923077,
1060,26,Female,Married,Not Graduate,Self-Employed,6345,966,237,360,1,Urban,0.3084810126582278,
1061,62,Male,Married,Not Graduate,Salaried,10785,307,313,120,1,Urban,0.3543769968051118,
1062,24,Female,Single,Not Graduate,Salaried,2689,2138,135,360,1,Urban,0.3575555555555555,
1063,49,Female,Single,Not Graduate,Salaried,4189,3464,373,180,1,Semiurban,0.2051742627345844,
1064,38,Female,Married,Graduate,Salaried,5595,7701,380,120,1,Rural,0.3498947368421052,
1065,46,Female,Single,Graduate,Salaried,3375,4897,186,120,0,Rural,0.4447311827956989,
1066,64,Male,Single,Graduate,Self-Employed,9268,109,395,120,0,Rural,0.2373924050632911,
1067,54,Male,Single,Not Graduate,Salaried,4906,3632,435,300,1,Semiurban,0.1962758620689655,
1068,30,Male,Single,Graduate,Self-Employed,11479,5760,385,180,1,Rural,0.4477662337662337,
1069,56,Male,Single,Graduate,Self-Employed,5432,6728,144,300,1,Urban,0.8444444444444444,
1070,34,Male,Married,Not Graduate,Salaried,11299,4435,375,120,1,Rural,0.4195733333333333,
1071,51,Male,Single,Not Graduate,Self-Employed,13440,5684,294,300,1,Semiurban,0.6504761904761904,
1072,35,Male,Single,Not Graduate,Salaried,9740,5074,139,300,0,Semiurban,1.0657553956834531,
1073,28,Female,Single,Graduate,Self-Employed,14863,6499,108,180,1,Rural,1.977962962962963,
1074,34,Male,Married,Graduate,Salaried,6908,1915,452,240,1,Semiurban,0.1951991150442477,
1075,43,Male,Married,Not Graduate,Salaried,5361,4263,77,300,1,Rural,1.2498701298701298,
1076,60,Female,Married,Graduate,Self-Employed,8906,556,121,300,1,Rural,0.7819834710743802,
1077,41,Male,Married,Not Graduate,Salaried,11872,7619,319,120,1,Urban,0.6110031347962382,
1078,36,Male,Single,Not Graduate,Self-Employed,12738,5000,73,120,1,Semiurban,2.4298630136986303,
1079,38,Female,Married,Graduate,Salaried,4333,104,161,120,0,Urban,0.2755900621118012,
1080,44,Male,Single,Not Graduate,Salaried,6785,2047,349,360,1,Semiurban,0.2530659025787966,
1081,46,Male,Single,Not Graduate,Salaried,11089,6293,105,300,1,Rural,1.6554285714285717,
1082,45,Male,Married,Not Graduate,Self-Employed,9145,145,272,120,1,Semiurban,0.3415441176470588,
1083,61,Female,Married,Graduate,Self-Employed,13518,2763,169,180,1,Rural,0.9633727810650888,
1084,49,Male,Married,Not Graduate,Salaried,14266,873,228,360,0,Semiurban,0.6639912280701754,
1085,35,Male,Married,Not Graduate,Self-Employed,10523,298,337,240,0,Urban,0.3210979228486647,
1086,21,Female,Married,Not Graduate,Salaried,12389,3238,483,300,1,Urban,0.3235403726708074,
1087,45,Male,Single,Not Graduate,Self-Employed,6277,5832,474,300,1,Rural,0.255464135021097,
1088,27,Female,Married,Not Graduate,Self-Employed,4235,645,499,180,1,Urban,0.0977955911823647,
1089,29,Female,Married,Not Graduate,Salaried,9773,6866,330,240,1,Rural,0.5042121212121212,
1090,44,Male,Married,Not Graduate,Salaried,9778,7215,421,240,1,Rural,0.4036342042755344,
1091,21,Female,Single,Graduate,Salaried,7868,4733,238,360,1,Rural,0.529453781512605,
1092,64,Female,Married,Graduate,Salaried,11755,6382,115,300,1,Semiurban,1.5771304347826087,
1093,28,Male,Single,Not Graduate,Salaried,2321,3078,347,120,1,Rural,0.1555907780979827,
1094,44,Female,Married,Graduate,Self-Employed,9025,2511,498,180,1,Urban,0.2316465863453815,
1095,31,Female,Married,Graduate,Self-Employed,1662,6596,469,180,0,Semiurban,0.1760767590618336,
1096,37,Male,Single,Not Graduate,Salaried,9277,783,298,180,1,Urban,0.3375838926174496,
1097,28,Male,Married,Graduate,Salaried,13431,4992,125,180,0,Rural,1.47384,
1098,55,Male,Single,Not Graduate,Salaried,12089,370,186,120,1,Rural,0.6698387096774193,
1099,55,Female,Single,Not Graduate,Self-Employed,3432,7716,213,120,1,Urban,0.5233802816901408,
1100,53,Male,Single,Not Graduate,Salaried,12420,486,282,360,0,Semiurban,0.4576595744680851,
1101,25,Female,Married,Not Graduate,Salaried,5035,7378,304,300,1,Urban,0.4083223684210526,
1102,62,Female,Married,Not Graduate,Self-Employed,7456,2037,343,120,1,Rural,0.2767638483965015,
1103,59,Female,Married,Graduate,Self-Employed,4946,6308,466,360,0,Semiurban,0.2415021459227467,
1104,61,Female,Single,Not Graduate,Self-Employed,14903,3196,219,240,0,Rural,0.8264383561643835,
1105,48,Female,Married,Graduate,Self-Employed,4290,1360,366,300,1,Rural,0.1543715846994535,
1106,27,Female,Single,Not Graduate,Salaried,4207,4287,223,120,1,Urban,0.380896860986547,
1107,29,Female,Married,Not Graduate,Self-Employed,9459,4825,394,240,1,Rural,0.3625380710659898,
1108,28,Male,Single,Not Graduate,Self-Employed,5433,2261,494,360,1,Urban,0.155748987854251,
1109,32,Male,Single,Graduate,Salaried,4885,2621,67,120,1,Semiurban,1.1202985074626866,
1110,54,Female,Single,Not Graduate,Salaried,8136,7495,119,120,1,Rural,1.3135294117647058,
1111,53,Female,Married,Not Graduate,Salaried,2422,956,387,240,1,Rural,0.0872868217054263,
1112,43,Male,Single,Not Graduate,Self-Employed,9589,380,165,120,1,Semiurban,0.6041818181818182,
1113,44,Female,Single,Not Graduate,Salaried,11867,6816,129,180,1,Urban,1.4482945736434107,
1114,57,Male,Single,Graduate,Self-Employed,11274,3649,64,120,1,Rural,2.33171875,
1115,55,Male,Single,Not Graduate,Self-Employed,2064,4893,225,300,0,Semiurban,0.3092,
1116,64,Male,Single,Graduate,Self-Employed,4758,238,318,240,1,Rural,0.1571069182389937,
1117,60,Female,Single,Not Graduate,Salaried,12289,7699,168,300,1,Urban,1.1897619047619048,
1118,42,Female,Married,Graduate,Self-Employed,4000,6843,348,360,1,Urban,0.3115804597701149,
1119,47,Male,Married,Graduate,Salaried,6066,1105,237,300,1,Urban,0.3025738396624473,
1120,55,Male,Single,Not Graduate,Salaried,10679,1386,106,180,1,Urban,1.1382075471698114,
1121,21,Male,Married,Not Graduate,Salaried,8381,2552,248,180,1,Semiurban,0.4408467741935484,
1122,55,Male,Married,Graduate,Self-Employed,5136,2249,66,300,0,Rural,1.118939393939394,
1123,57,Male,Single,Not Graduate,Self-Employed,7530,7063,483,360,1,Semiurban,0.3021325051759834,
1124,34,Female,Single,Not Graduate,Self-Employed,1723,1527,337,120,1,Urban,0.0964391691394658,
1125,23,Male,Single,Not Graduate,Salaried,7797,1667,455,180,0,Urban,0.208,
1126,21,Female,Married,Graduate,Self-Employed,1850,4132,104,300,1,Urban,0.5751923076923077,
1127,25,Male,Single,Not Graduate,Self-Employed,8814,2691,490,300,1,Urban,0.2347959183673469,
1128,46,Female,Married,Not Graduate,Self-Employed,3428,7756,318,300,0,Rural,0.3516981132075472,
1129,34,Female,Single,Not Graduate,Self-Employed,9243,3672,352,120,1,Urban,0.366903409090909,
1130,59,Female,Married,Graduate,Self-Employed,10040,1996,136,240,1,Rural,0.885,
1131,47,Female,Single,Not Graduate,Salaried,13969,1425,367,360,1,Urban,0.4194550408719346,
1132,29,Female,Single,Graduate,Salaried,6232,2812,487,240,1,Rural,0.1857084188911704,
1133,35,Female,Married,Not Graduate,Salaried,2517,6849,78,360,1,Rural,1.2007692307692308,
1134,35,Male,Married,Graduate,Salaried,3726,3247,71,360,1,Urban,0.982112676056338,
1135,46,Female,Married,Not Graduate,Self-Employed,8706,2592,370,300,1,Semiurban,0.3053513513513513,
1136,62,Male,Married,Not Graduate,Salaried,14559,7737,334,180,1,Semiurban,0.6675449101796407,
1137,33,Female,Married,Graduate,Self-Employed,8670,1490,97,300,0,Semiurban,1.0474226804123712,
1138,52,Female,Married,Graduate,Salaried,14803,1224,54,120,1,Semiurban,2.967962962962963,
1139,59,Male,Single,Graduate,Salaried,7707,2587,299,360,0,Semiurban,0.3442809364548495,
1140,52,Female,Married,Not Graduate,Salaried,13816,7714,212,180,1,Urban,1.015566037735849,
